




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (8935)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_H9.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
regulation of dendrite morphogenesis (GO:0048814)	67	55	29.07	+	1.89	7.07E-04	2.48E-02
dorsal/ventral pattern formation (GO:0009953)	76	59	32.97	+	1.79	9.57E-04	3.21E-02
regulation of dendrite development (GO:0050773)	104	79	45.12	+	1.75	2.56E-04	1.00E-02
post-embryonic development (GO:0009791)	83	63	36.01	+	1.75	1.07E-03	3.48E-02
roof of mouth development (GO:0060021)	87	65	37.74	+	1.72	1.34E-03	4.20E-02
spinal cord development (GO:0021510)	100	73	43.38	+	1.68	8.59E-04	2.93E-02
histone acetylation (GO:0016573)	110	80	47.72	+	1.68	6.13E-04	2.16E-02
limbic system development (GO:0021761)	109	78	47.29	+	1.65	9.99E-04	3.33E-02
embryonic skeletal system development (GO:0048706)	123	88	53.36	+	1.65	3.93E-04	1.47E-02
metencephalon development (GO:0022037)	112	79	48.59	+	1.63	1.14E-03	3.68E-02
regionalization (GO:0003002)	317	222	137.53	+	1.61	5.99E-08	4.88E-06
positive regulation of neurogenesis (GO:0050769)	227	157	98.48	+	1.59	9.18E-06	4.94E-04
peptidyl-lysine acetylation (GO:0018394)	119	82	51.63	+	1.59	1.52E-03	4.71E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	100	63.34	+	1.58	6.04E-04	2.14E-02
positive regulation of neuron projection development (GO:0010976)	161	110	69.85	+	1.57	3.16E-04	1.21E-02
positive regulation of nervous system development (GO:0051962)	274	187	118.87	+	1.57	2.36E-06	1.44E-04
cell fate commitment (GO:0045165)	238	162	103.25	+	1.57	1.38E-05	7.28E-04
regulation of neurogenesis (GO:0050767)	364	247	157.92	+	1.56	8.21E-08	6.62E-06
neurotransmitter transport (GO:0006836)	142	96	61.61	+	1.56	1.07E-03	3.48E-02
anterior/posterior pattern specification (GO:0009952)	203	137	88.07	+	1.56	8.36E-05	3.67E-03
central nervous system neuron differentiation (GO:0021953)	183	123	79.39	+	1.55	2.13E-04	8.44E-03
pallium development (GO:0021543)	173	116	75.05	+	1.55	3.81E-04	1.43E-02
regulation of neuron projection development (GO:0010975)	447	299	193.93	+	1.54	8.69E-09	8.33E-07
regulation of nervous system development (GO:0051960)	443	294	192.19	+	1.53	1.87E-08	1.71E-06
hindbrain development (GO:0030902)	151	100	65.51	+	1.53	1.16E-03	3.69E-02
telencephalon development (GO:0021537)	254	168	110.20	+	1.52	2.94E-05	1.46E-03
regulation of axonogenesis (GO:0050770)	161	106	69.85	+	1.52	1.01E-03	3.34E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	144	95.01	+	1.52	1.40E-04	5.87E-03
regulation of synapse organization (GO:0050807)	210	138	91.11	+	1.51	2.06E-04	8.22E-03
forebrain development (GO:0030900)	387	254	167.90	+	1.51	3.38E-07	2.46E-05
respiratory system development (GO:0060541)	200	131	86.77	+	1.51	2.94E-04	1.14E-02
regulation of cell junction assembly (GO:1901888)	202	132	87.64	+	1.51	3.12E-04	1.20E-02
regulation of neuron differentiation (GO:0045664)	193	126	83.73	+	1.50	4.58E-04	1.68E-02
regulation of neuron apoptotic process (GO:0043523)	210	137	91.11	+	1.50	2.56E-04	9.99E-03
skeletal system morphogenesis (GO:0048705)	224	146	97.18	+	1.50	1.63E-04	6.68E-03
protein acylation (GO:0043543)	178	116	77.22	+	1.50	8.72E-04	2.96E-02
regulation of synapse structure or activity (GO:0050803)	221	144	95.88	+	1.50	1.85E-04	7.46E-03
positive regulation of developmental growth (GO:0048639)	169	110	73.32	+	1.50	1.04E-03	3.40E-02
pattern specification process (GO:0007389)	426	277	184.82	+	1.50	1.88E-07	1.42E-05
respiratory tube development (GO:0030323)	177	115	76.79	+	1.50	8.49E-04	2.92E-02
axonogenesis (GO:0007409)	385	250	167.03	+	1.50	7.54E-07	4.99E-05
lung development (GO:0030324)	173	112	75.05	+	1.49	1.16E-03	3.68E-02
cell projection morphogenesis (GO:0048858)	507	328	219.96	+	1.49	1.77E-08	1.63E-06
positive regulation of cell development (GO:0010720)	300	194	130.15	+	1.49	1.66E-05	8.65E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	325	218.22	+	1.49	2.39E-08	2.14E-06
renal system development (GO:0072001)	291	188	126.25	+	1.49	2.41E-05	1.22E-03
positive regulation of cell projection organization (GO:0031346)	353	228	153.15	+	1.49	3.11E-06	1.88E-04
limb development (GO:0060173)	175	113	75.92	+	1.49	1.23E-03	3.87E-02
appendage development (GO:0048736)	175	113	75.92	+	1.49	1.23E-03	3.87E-02
urogenital system development (GO:0001655)	324	209	140.57	+	1.49	9.11E-06	4.92E-04
regulation of Wnt signaling pathway (GO:0030111)	377	243	163.56	+	1.49	1.71E-06	1.07E-04
axon development (GO:0061564)	421	271	182.65	+	1.48	4.67E-07	3.28E-05
regulation of trans-synaptic signaling (GO:0099177)	432	278	187.42	+	1.48	3.37E-07	2.47E-05
neuron projection morphogenesis (GO:0048812)	499	321	216.49	+	1.48	4.01E-08	3.37E-06
positive regulation of intracellular protein transport (GO:0090316)	185	119	80.26	+	1.48	1.06E-03	3.47E-02
modulation of chemical synaptic transmission (GO:0050804)	431	277	186.99	+	1.48	4.03E-07	2.88E-05
cell part morphogenesis (GO:0032990)	526	338	228.20	+	1.48	1.94E-08	1.75E-06
regulation of signal transduction by p53 class mediator (GO:1901796)	201	129	87.20	+	1.48	5.79E-04	2.07E-02
regulation of synaptic plasticity (GO:0048167)	188	120	81.56	+	1.47	1.15E-03	3.68E-02
protein autophosphorylation (GO:0046777)	188	120	81.56	+	1.47	1.15E-03	3.68E-02
regulation of neurotransmitter levels (GO:0001505)	218	139	94.58	+	1.47	4.87E-04	1.78E-02
covalent chromatin modification (GO:0016569)	367	234	159.22	+	1.47	4.53E-06	2.61E-04
regulation of canonical Wnt signaling pathway (GO:0060828)	298	190	129.29	+	1.47	4.38E-05	2.10E-03
neuron projection guidance (GO:0097485)	278	177	120.61	+	1.47	7.27E-05	3.30E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	119	81.13	+	1.47	1.38E-03	4.29E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	288	196.53	+	1.47	4.73E-07	3.31E-05
axon guidance (GO:0007411)	277	176	120.17	+	1.46	8.63E-05	3.77E-03
kidney development (GO:0001822)	282	179	122.34	+	1.46	7.99E-05	3.54E-03
embryonic organ development (GO:0048568)	435	276	188.72	+	1.46	8.29E-07	5.46E-05
regulation of cell projection organization (GO:0031344)	648	411	281.13	+	1.46	1.50E-09	1.62E-07
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	400	273.76	+	1.46	2.68E-09	2.78E-07
head development (GO:0060322)	803	509	348.38	+	1.46	1.80E-11	2.41E-09
histone modification (GO:0016570)	363	230	157.49	+	1.46	9.07E-06	4.91E-04
synapse organization (GO:0050808)	289	183	125.38	+	1.46	7.79E-05	3.46E-03
regulation of protein binding (GO:0043393)	196	124	85.03	+	1.46	1.16E-03	3.69E-02
positive regulation of intracellular transport (GO:0032388)	228	144	98.92	+	1.46	5.13E-04	1.85E-02
negative regulation of neuron death (GO:1901215)	209	132	90.67	+	1.46	8.72E-04	2.95E-02
neuron differentiation (GO:0030182)	1043	658	452.50	+	1.45	2.30E-14	4.49E-12
embryonic organ morphogenesis (GO:0048562)	295	186	127.98	+	1.45	7.42E-05	3.33E-03
generation of neurons (GO:0048699)	1271	799	551.41	+	1.45	5.10E-17	1.14E-14
cell-cell signaling by wnt (GO:0198738)	350	220	151.85	+	1.45	1.78E-05	9.28E-04
Wnt signaling pathway (GO:0016055)	350	220	151.85	+	1.45	1.78E-05	9.25E-04
brain development (GO:0007420)	759	477	329.29	+	1.45	1.83E-10	2.28E-08
embryonic morphogenesis (GO:0048598)	570	358	247.29	+	1.45	3.91E-08	3.31E-06
ear development (GO:0043583)	220	138	95.45	+	1.45	7.69E-04	2.67E-02
peptidyl-lysine modification (GO:0018205)	305	191	132.32	+	1.44	7.77E-05	3.46E-03
regulation of cell development (GO:0060284)	500	313	216.92	+	1.44	3.72E-07	2.68E-05
neuron projection development (GO:0031175)	691	432	299.79	+	1.44	2.28E-09	2.42E-07
neurogenesis (GO:0022008)	1391	868	603.48	+	1.44	7.80E-18	1.90E-15
gland development (GO:0048732)	414	258	179.61	+	1.44	5.26E-06	2.98E-04
regulation of cell morphogenesis (GO:0022604)	310	193	134.49	+	1.44	8.77E-05	3.81E-03
skeletal system development (GO:0001501)	479	298	207.81	+	1.43	1.07E-06	6.93E-05
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	753	525.82	+	1.43	2.84E-15	5.62E-13
response to endoplasmic reticulum stress (GO:0034976)	260	161	112.80	+	1.43	4.14E-04	1.54E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	260	182.21	+	1.43	7.24E-06	4.02E-04
central nervous system development (GO:0007417)	1000	619	433.84	+	1.43	2.06E-12	3.17E-10
regulation of developmental growth (GO:0048638)	320	198	138.83	+	1.43	1.09E-04	4.64E-03
epithelial tube morphogenesis (GO:0060562)	309	191	134.06	+	1.42	1.51E-04	6.22E-03
protein localization to cell periphery (GO:1990778)	233	144	101.09	+	1.42	1.04E-03	3.40E-02
embryo development (GO:0009790)	991	612	429.94	+	1.42	3.64E-12	5.38E-10
cell morphogenesis involved in differentiation (GO:0000904)	559	345	242.52	+	1.42	2.50E-07	1.86E-05
cell junction organization (GO:0034330)	502	309	217.79	+	1.42	1.45E-06	9.18E-05
neuron development (GO:0048666)	846	519	367.03	+	1.41	3.86E-10	4.42E-08
rhythmic process (GO:0048511)	269	165	116.70	+	1.41	5.02E-04	1.83E-02
chordate embryonic development (GO:0043009)	613	376	265.95	+	1.41	1.20E-07	9.51E-06
regulation of autophagy (GO:0010506)	331	203	143.60	+	1.41	1.14E-04	4.85E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	320	226.47	+	1.41	1.26E-06	8.09E-05
cell morphogenesis (GO:0000902)	715	438	310.20	+	1.41	1.17E-08	1.10E-06
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	147	104.12	+	1.41	1.20E-03	3.81E-02
negative regulation of mitotic cell cycle (GO:0045930)	294	180	127.55	+	1.41	3.34E-04	1.28E-02
cellular component morphogenesis (GO:0032989)	611	374	265.08	+	1.41	1.66E-07	1.27E-05
sensory organ morphogenesis (GO:0090596)	261	159	113.23	+	1.40	8.87E-04	2.99E-02
behavior (GO:0007610)	557	339	241.65	+	1.40	8.62E-07	5.66E-05
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	551	393.06	+	1.40	2.92E-10	3.45E-08
embryo development ending in birth or egg hatching (GO:0009792)	633	384	274.62	+	1.40	2.14E-07	1.60E-05
regulation of neuron death (GO:1901214)	316	191	137.09	+	1.39	3.60E-04	1.36E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	984	706.30	+	1.39	2.39E-17	5.71E-15
positive regulation of transcription, DNA-templated (GO:0045893)	1628	984	706.30	+	1.39	2.39E-17	5.63E-15
nervous system development (GO:0007399)	2218	1340	962.26	+	1.39	8.09E-24	4.74E-21
positive regulation of RNA biosynthetic process (GO:1902680)	1629	984	706.73	+	1.39	2.44E-17	5.67E-15
in utero embryonic development (GO:0001701)	366	221	158.79	+	1.39	1.12E-04	4.74E-03
morphogenesis of an epithelium (GO:0002009)	441	266	191.32	+	1.39	2.30E-05	1.17E-03
small GTPase mediated signal transduction (GO:0007264)	262	158	113.67	+	1.39	1.30E-03	4.06E-02
tube development (GO:0035295)	856	516	371.37	+	1.39	2.82E-09	2.92E-07
regulation of binding (GO:0051098)	365	220	158.35	+	1.39	1.30E-04	5.49E-03
enzyme linked receptor protein signaling pathway (GO:0007167)	723	435	313.67	+	1.39	5.76E-08	4.72E-06
regulation of mitotic cell cycle phase transition (GO:1901990)	434	261	188.29	+	1.39	3.40E-05	1.66E-03
positive regulation of cellular protein localization (GO:1903829)	306	184	132.76	+	1.39	5.08E-04	1.84E-02
vasculature development (GO:0001944)	514	309	223.00	+	1.39	6.42E-06	3.61E-04
positive regulation of RNA metabolic process (GO:0051254)	1773	1063	769.20	+	1.38	4.76E-18	1.20E-15
regulation of cell growth (GO:0001558)	422	253	183.08	+	1.38	5.46E-05	2.55E-03
animal organ morphogenesis (GO:0009887)	956	573	414.75	+	1.38	6.12E-10	6.86E-08
camera-type eye development (GO:0043010)	317	190	137.53	+	1.38	5.22E-04	1.88E-02
proteasomal protein catabolic process (GO:0010498)	361	216	156.62	+	1.38	2.04E-04	8.16E-03
sensory organ development (GO:0007423)	555	332	240.78	+	1.38	4.00E-06	2.34E-04
tube morphogenesis (GO:0035239)	654	391	283.73	+	1.38	5.28E-07	3.64E-05
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	202	146.64	+	1.38	3.81E-04	1.44E-02
regulation of growth (GO:0040008)	661	395	286.77	+	1.38	4.26E-07	3.03E-05
blood vessel morphogenesis (GO:0048514)	410	245	177.88	+	1.38	7.44E-05	3.33E-03
activation of protein kinase activity (GO:0032147)	328	196	142.30	+	1.38	4.49E-04	1.66E-02
response to growth factor (GO:0070848)	526	314	228.20	+	1.38	7.95E-06	4.36E-04
cellular response to growth factor stimulus (GO:0071363)	497	296	215.62	+	1.37	1.58E-05	8.29E-04
peptidyl-amino acid modification (GO:0018193)	886	526	384.39	+	1.37	9.43E-09	8.92E-07
blood vessel development (GO:0001568)	492	292	213.45	+	1.37	2.40E-05	1.22E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	1150	842.09	+	1.37	2.60E-18	6.84E-16
regulation of cellular response to growth factor stimulus (GO:0090287)	299	177	129.72	+	1.36	1.26E-03	3.95E-02
regulation of cellular protein localization (GO:1903827)	561	332	243.39	+	1.36	7.34E-06	4.04E-04
angiogenesis (GO:0001525)	318	188	137.96	+	1.36	8.84E-04	2.98E-02
negative regulation of signal transduction (GO:0009968)	1305	769	566.17	+	1.36	6.03E-12	8.74E-10
negative regulation of protein phosphorylation (GO:0001933)	353	208	153.15	+	1.36	4.92E-04	1.79E-02
negative regulation of cell communication (GO:0010648)	1401	825	607.81	+	1.36	9.41E-13	1.60E-10
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	1097	808.25	+	1.36	7.02E-17	1.54E-14
negative regulation of signaling (GO:0023057)	1405	827	609.55	+	1.36	1.00E-12	1.68E-10
negative regulation of transcription, DNA-templated (GO:0045892)	1297	762	562.69	+	1.35	1.04E-11	1.46E-09
regulation of mitotic cell cycle (GO:0007346)	588	345	255.10	+	1.35	8.16E-06	4.46E-04
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	762	563.56	+	1.35	1.49E-11	2.01E-09
negative regulation of RNA biosynthetic process (GO:1902679)	1301	763	564.43	+	1.35	1.31E-11	1.78E-09
regulation of anatomical structure morphogenesis (GO:0022603)	967	567	419.53	+	1.35	7.72E-09	7.58E-07
regulation of protein localization (GO:0032880)	894	524	387.86	+	1.35	3.39E-08	2.93E-06
negative regulation of cell differentiation (GO:0045596)	644	377	279.39	+	1.35	3.85E-06	2.27E-04
eye development (GO:0001654)	364	213	157.92	+	1.35	5.86E-04	2.08E-02
negative regulation of phosphorylation (GO:0042326)	395	231	171.37	+	1.35	3.59E-04	1.36E-02
positive regulation of catabolic process (GO:0009896)	519	303	225.16	+	1.35	4.34E-05	2.09E-03
negative regulation of RNA metabolic process (GO:0051253)	1408	822	610.85	+	1.35	3.93E-12	5.75E-10
anatomical structure morphogenesis (GO:0009653)	2158	1259	936.23	+	1.34	1.83E-18	5.16E-16
positive regulation of cell differentiation (GO:0045597)	840	490	364.43	+	1.34	1.43E-07	1.12E-05
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	897	668.12	+	1.34	5.29E-13	9.61E-11
cell division (GO:0051301)	498	290	216.05	+	1.34	7.01E-05	3.20E-03
positive regulation of cellular biosynthetic process (GO:0031328)	1969	1146	854.24	+	1.34	1.44E-16	3.12E-14
negative regulation of intracellular signal transduction (GO:1902532)	507	295	219.96	+	1.34	5.87E-05	2.72E-03
tissue morphogenesis (GO:0048729)	545	317	236.44	+	1.34	3.39E-05	1.66E-03
regulation of membrane potential (GO:0042391)	437	254	189.59	+	1.34	2.22E-04	8.76E-03
regulation of protein catabolic process (GO:0042176)	398	231	172.67	+	1.34	4.42E-04	1.64E-02
regulation of secretion by cell (GO:1903530)	581	337	252.06	+	1.34	2.23E-05	1.14E-03
response to oxygen levels (GO:0070482)	388	225	168.33	+	1.34	6.11E-04	2.16E-02
cell projection organization (GO:0030030)	1221	708	529.72	+	1.34	3.73E-10	4.30E-08
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	899	672.89	+	1.34	1.01E-12	1.68E-10
circulatory system development (GO:0072359)	877	508	380.48	+	1.34	1.77E-07	1.35E-05
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	885	662.91	+	1.34	1.91E-12	2.96E-10
visual system development (GO:0150063)	368	213	159.65	+	1.33	8.57E-04	2.93E-02
plasma membrane bounded cell projection organization (GO:0120036)	1175	680	509.77	+	1.33	1.11E-09	1.21E-07
anatomical structure formation involved in morphogenesis (GO:0048646)	883	511	383.08	+	1.33	1.65E-07	1.27E-05
regulation of cellular catabolic process (GO:0031329)	899	520	390.03	+	1.33	1.30E-07	1.01E-05
positive regulation of biosynthetic process (GO:0009891)	2004	1159	869.42	+	1.33	3.82E-16	7.75E-14
negative regulation of cellular biosynthetic process (GO:0031327)	1610	931	698.49	+	1.33	6.27E-13	1.11E-10
protein phosphorylation (GO:0006468)	685	396	297.18	+	1.33	5.10E-06	2.90E-04
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1805	1354.89	+	1.33	7.38E-26	6.14E-23
regulation of DNA metabolic process (GO:0051052)	372	215	161.39	+	1.33	9.07E-04	3.05E-02
positive regulation of cellular catabolic process (GO:0031331)	450	260	195.23	+	1.33	2.30E-04	9.08E-03
regulation of small GTPase mediated signal transduction (GO:0051056)	348	201	150.98	+	1.33	1.40E-03	4.37E-02
sensory system development (GO:0048880)	374	216	162.26	+	1.33	9.34E-04	3.13E-02
chromatin organization (GO:0006325)	703	406	304.99	+	1.33	4.12E-06	2.40E-04
positive regulation of developmental process (GO:0051094)	1271	734	551.41	+	1.33	2.89E-10	3.44E-08
